,Tiempo estimado,Tiempo total,Tiempo pospuesto,% de eficiencia
0,3718.0,3718.0,0.0,100.0
1,3992.0,3997.0,5.0,99.87490617963472
2,6504.0,6519.0,15.0,99.76990335941095
3,7837.0,7862.0,25.0,99.6820147545154
4,300.0,300.0,0.0,100.0
5,6974.0,7028.0,54.0,99.23164484917473
6,2237.0,2257.0,20.0,99.11386796632698
